iter	Passed	Remaining
146	1154	6698
147	1158	6669
148	1162	6641
149	1168	6621
150	1172	6592
151	1177	6566
152	1181	6539
153	1186	6518
154	1190	6492
155	1195	6466
156	1201	6450
157	1206	6426
158	1211	6406
159	1217	6393
160	1223	6377
161	1228	6353
162	1234	6339
163	1239	6320
164	1244	6298
165	1251	6286
166	1268	6328
167	1273	6307
168	1277	6282
169	1284	6269
170	1288	6246
171	1293	6225
172	1299	6209
173	1303	6186
174	1307	6164
175	1311	6141
176	1316	6122
177	1322	6106
178	1326	6086
179	1334	6078
180	1338	6057
181	1344	6043
182	1350	6030
183	1356	6014
184	1362	6000
185	1367	5982
186	1372	5966
187	1379	5957
188	1383	5938
189	1388	5920
190	1395	5911
191	1401	5896
192	1418	5932
193	1430	5943
194	1435	5927
195	1440	5907
196	1446	5897
197	1452	5882
198	1456	5863
199	1463	5855
200	1468	5837
201	1473	5820
202	1479	5809
203	1484	5793
204	1489	5774
205	1496	5768
206	1502	5757
207	1509	5748
208	1516	5740
209	1522	5726
210	1529	5719
211	1534	5702
212	1538	5685
213	1547	5683
214	1552	5668
215	1560	5662
216	1581	5705
217	1586	5690
218	1594	5684
219	1599	5671
220	1604	5654
221	1611	5647
222	1616	5631
223	1621	5616
224	1627	5605
225	1631	5589
226	1638	5579
227	1644	5567
228	1649	5554
229	1656	5546
230	1661	5531
231	1666	5516
232	1673	5510
233	1678	5495
234	1683	5481
235	1691	5475
236	1697	5463
237	1703	5454
238	1708	5440
239	1715	5430
240	1741	5483
241	1748	5475
242	1755	5467
243	1759	5452
244	1765	5439
245	1771	5430
246	1776	5416
247	1782	5404
248	1789	5398
249	1798	5395
250	1809	5399
251	1814	5386
252	1820	5376
253	1825	5361
254	1829	5345
255	1835	5334
256	1840	5321
257	1844	5306
258	1851	5296
259	1855	5281
260	1860	5266
261	1865	5256
262	1870	5242
263	1876	5230
264	1883	5225
265	1905	5257
266	1909	5242
267	1915	5230
268	1922	5225
269	1927	5211
270	1934	5204
271	1948	5214
272	1954	5205
273	1962	5198
274	1972	5199
275	1977	5186
276	1984	5180
277	1990	5169
278	1998	5164
279	2004	5154
280	2009	5140
281	2015	5132
282	2019	5117
283	2025	5107
284	2031	5096
285	2035	5081
286	2040	5068
287	2060	5093
288	2066	5085
289	2072	5073
290	2076	5059
291	2082	5049
292	2087	5037
293	2091	5022
294	2098	5015
295	2102	5000
296	2107	4987
297	2112	4975
298	2116	4962
299	2121	4950
300	2125	4936
301	2131	4926
302	2136	4913
303	2140	4900
304	2146	4890
305	2151	4878
306	2155	4865
307	2162	4857
308	2166	4843
309	2170	4831
310	2176	4821
311	2180	4809
312	2185	4796
313	2189	4784
314	2211	4809
315	2217	4798
316	2221	4786
317	2227	4777
318	2232	4765
319	2236	4752
320	2243	4744
321	2248	4733
322	2252	4721
323	2260	4716
324	2266	4707
325	2275	4704
326	2287	4707
327	2298	4710
328	2318	4728
329	2335	4742
330	2366	4782
331	2385	4799
332	2397	4802
333	2404	4794
334	2422	4808
335	2443	4828
336	2466	4851
337	2481	4859
338	2495	4864
339	2505	4864
340	2519	4868
341	2524	4856
342	2531	4848
343	2536	4837
344	2541	4824
345	2546	4813
346	2551	4800
347	2555	4787
348	2559	4774
349	2564	4763
350	2569	4750
351	2574	4738
352	2579	4728
353	2585	4717
354	2589	4705
355	2595	4695
356	2599	4682
357	2603	4669
358	2608	4656
359	2613	4646
360	2617	4633
361	2622	4622
362	2629	4614
363	2634	4603
364	2638	4590
365	2644	4580
366	2648	4568
367	2664	4575
368	2668	4563
369	2673	4551
370	2678	4541
371	2683	4530
372	2690	4522
373	2698	4517
374	2706	4510
375	2731	4533
376	2737	4523
377	2748	4522
378	2760	4523
379	2766	4513
380	2771	4503
381	2781	4500
382	2788	4491
383	2795	4485
384	2801	4475
385	2813	4475
386	2833	4487
387	2843	4484
388	2849	4475
389	2884	4511
390	2889	4500
391	2895	4491
392	2901	4482
393	2909	4475
394	2914	4463
395	2918	4451
396	2924	4442
397	2929	4431
398	2933	4418
399	2939	4409
400	2946	4401
401	2956	4397
402	2963	4390
403	2976	4390
404	2987	4389
405	2996	4384
406	3012	4389
407	3031	4399
408	3057	4417
409	3065	4411
410	3086	4423
411	3092	4413
412	3098	4403
413	3111	4404
414	3121	4399
415	3128	4391
416	3144	4396
417	3152	4389
418	3158	4379
419	3164	4370
420	3171	4362
421	3184	4361
422	3215	4386
423	3230	4388
424	3238	4381
425	3244	4371
426	3248	4359
427	3254	4349
428	3260	4339
429	3264	4327
430	3271	4318
431	3275	4306
432	3279	4294
433	3285	4284
434	3291	4275
435	3299	4268
436	3305	4258
437	3313	4251
438	3328	4253
439	3336	4246
440	3345	4241
441	3361	4243
442	3372	4240
443	3404	4262
444	3408	4251
445	3417	4244
446	3422	4234
447	3428	4223
448	3433	4213
449	3438	4202
450	3442	4190
451	3530	4279
452	3553	4291
453	3578	4304
454	3592	4303
455	3607	4303
456	3616	4297
457	3669	4342
458	3674	4331
459	3681	4321
460	3688	4312
461	3699	4307
462	3705	4297
463	3711	4287
464	3716	4275
465	3720	4263
466	3726	4253
467	3732	4243
468	3738	4232
469	3743	4221
470	3748	4209
471	3752	4197
472	3772	4203
473	3779	4194
474	3784	4182
475	3788	4170
476	3798	4164
477	3804	4154
478	3821	4156
479	3834	4153
480	3852	4156
481	3864	4153
482	3871	4144
483	3882	4139
484	3887	4128
485	3895	4119
486	3901	4109
487	3908	4100
488	3913	4089
489	3934	4094
490	3948	4093
491	3954	4083
492	3979	4092
493	3983	4080
494	3990	4071
495	3996	4060
496	4001	4050
497	4008	4040
498	4012	4028
499	4017	4017
500	4022	4006
501	4026	3994
502	4031	3983
503	4036	3972
504	4042	3962
505	4056	3960
506	4068	3956
507	4078	3949
508	4084	3940
509	4093	3932
510	4101	3925
511	4109	3917
512	4134	3924
513	4140	3914
514	4144	3903
515	4148	3891
516	4154	3881
517	4159	3870
518	4163	3858
519	4171	3850
520	4178	3841
521	4189	3836
522	4196	3827
523	4202	3817
524	4210	3809
525	4214	3798
526	4221	3788
527	4225	3777
528	4229	3766
529	4237	3758
530	4244	3748
531	4251	3739
532	4255	3728
533	4259	3717
534	4280	3720
535	4287	3711
536	4292	3700
537	4296	3689
538	4302	3679
539	4307	3668
540	4311	3658
541	4316	3647
542	4320	3636
543	4325	3625
544	4330	3615
545	4335	3604
546	4339	3594
547	4344	3583
548	4349	3573
549	4354	3562
550	4359	3552
551	4366	3543
552	4370	3532
553	4377	3523
554	4383	3514
555	4390	3505
556	4394	3495
557	4400	3485
558	4405	3475
559	4409	3464
560	4415	3455
561	4435	3456
562	4444	3449
563	4459	3447
564	4469	3440
565	4475	3432
566	4494	3432
567	4505	3426
568	4517	3421
569	4524	3413
570	4533	3406
571	4544	3400
572	4550	3391
573	4560	3384
574	4569	3377
575	4585	3375
576	4629	3393
577	4637	3386
578	4650	3381
579	4659	3374
580	4665	3364
581	4676	3358
582	4684	3350
583	4688	3340
584	4695	3331
585	4700	3320
586	4704	3310
587	4710	3300
588	4714	3290
589	4718	3279
590	4725	3269
591	4729	3259
592	4733	3249
593	4738	3238
594	4744	3229
595	4748	3218
596	4752	3208
597	4770	3206
598	4777	3198
599	4782	3188
600	4786	3178
601	4794	3170
602	4800	3160
603	4810	3153
604	4815	3143
605	4823	3136
606	4829	3126
607	4833	3116
608	4840	3107
609	4845	3097
610	4849	3087
611	4857	3079
612	4863	3070
613	4868	3060
614	4875	3052
615	4880	3042
616	4889	3034
617	4895	3025
618	4900	3016
619	4908	3008
620	4914	2999
621	4934	2998
622	4941	2990
623	4947	2981
624	4953	2971
625	4958	2962
626	4964	2953
627	4969	2943
628	4974	2934
629	4978	2924
630	4982	2913
631	4988	2904
632	4993	2895
633	4997	2885
634	5003	2876
635	5008	2866
636	5012	2856
637	5016	2846
638	5022	2837
639	5026	2827
640	5030	2817
641	5037	2808
642	5041	2799
643	5045	2789
644	5051	2780
645	5057	2771
646	5061	2761
647	5067	2752
648	5086	2750
649	5091	2741
650	5096	2732
651	5103	2723
652	5109	2715
653	5116	2706
654	5122	2698
655	5128	2689
656	5135	2681
657	5143	2673
658	5152	2666
659	5162	2659
660	5170	2651
661	5177	2643
662	5184	2635
663	5190	2626
664	5197	2618
665	5203	2609
666	5208	2600
667	5215	2592
668	5220	2583
669	5237	2579
670	5243	2571
671	5251	2563
672	5258	2554
673	5265	2546
674	5271	2538
675	5278	2530
676	5284	2521
677	5291	2513
678	5299	2505
679	5305	2496
680	5313	2488
681	5319	2480
682	5325	2471
683	5332	2463
684	5339	2455
685	5346	2447
686	5352	2438
687	5358	2430
688	5366	2422
689	5372	2413
690	5389	2410
691	5397	2402
692	5403	2393
693	5410	2385
694	5416	2377
695	5422	2368
696	5429	2360
697	5434	2351
698	5438	2342
699	5444	2333
700	5448	2323
701	5452	2314
702	5456	2305
703	5462	2296
704	5467	2287
705	5471	2278
706	5477	2270
707	5482	2261
708	5486	2252
709	5492	2243
710	5498	2234
711	5502	2225
712	5508	2217
713	5512	2208
714	5517	2199
715	5521	2190
716	5526	2181
717	5543	2177
718	5548	2168
719	5553	2159
720	5558	2151
721	5563	2142
722	5568	2133
723	5576	2125
724	5580	2116
725	5585	2108
726	5593	2100
727	5599	2092
728	5605	2083
729	5611	2075
730	5616	2066
731	5623	2058
732	5630	2050
733	5639	2043
734	5644	2035
735	5650	2026
736	5659	2019
737	5665	2011
738	5673	2003
739	5677	1994
740	5681	1985
741	5697	1981
742	5704	1973
743	5708	1964
744	5712	1955
745	5718	1946
746	5722	1938
747	5726	1929
748	5731	1920
749	5736	1912
750	5740	1903
751	5744	1894
752	5749	1885
753	5754	1877
754	5758	1868
755	5763	1860
756	5769	1852
757	5774	1843
758	5779	1835
759	5784	1826
760	5789	1818
761	5795	1810
762	5802	1802
763	5806	1793
764	5811	1785
765	5817	1777
766	5823	1768
767	5828	1760
768	5835	1752
769	5854	1748
770	5859	1740
771	5865	1732
772	5870	1724
773	5875	1715
774	5880	1707
775	5885	1698
776	5889	1690
777	5893	1681
778	5899	1673
779	5903	1665
780	5907	1656
781	5913	1648
782	5917	1640
783	5922	1631
784	5926	1623
785	5932	1615
786	5937	1606
787	5941	1598
788	5947	1590
789	5951	1582
790	5955	1573
791	5960	1565
792	5966	1557
793	5970	1548
794	5974	1540
795	5980	1532
796	5984	1524
797	5988	1515
798	5995	1508
799	6004	1501
800	6008	1492
801	6012	1484
802	6017	1476
803	6022	1468
804	6026	1459
805	6032	1451
806	6038	1444
807	6042	1435
808	6047	1427
809	6053	1419
810	6057	1411
811	6062	1403
812	6068	1395
813	6072	1387
814	6076	1379
815	6081	1371
816	6086	1363
817	6091	1355
818	6095	1347
819	6101	1339
820	6105	1331
821	6110	1323
822	6114	1315
823	6119	1307
824	6124	1299
825	6128	1291
826	6134	1283
827	6152	1277
828	6158	1270
829	6164	1262
830	6169	1254
831	6173	1246
832	6177	1238
833	6183	1230
834	6188	1222
835	6192	1214
836	6197	1207
837	6202	1199
838	6207	1191
839	6212	1183
840	6216	1175
841	6221	1167
842	6225	1159
843	6231	1151
844	6236	1143
845	6241	1136
846	6247	1128
847	6251	1120
848	6256	1112
849	6263	1105
850	6267	1097
851	6272	1089
852	6278	1081
853	6283	1074
854	6288	1066
855	6305	1060
856	6312	1053
857	6318	1045
858	6322	1037
859	6329	1030
860	6334	1022
861	6338	1014
862	6344	1007
863	6349	999
864	6353	991
865	6358	983
866	6362	976
867	6367	968
868	6371	960
869	6377	952
870	6381	945
871	6385	937
872	6389	929
873	6394	921
874	6399	914
875	6403	906
876	6409	898
877	6413	891
878	6417	883
879	6423	875
880	6428	868
881	6432	860
882	6436	852
883	6442	845
884	6459	839
885	6464	831
886	6468	824
887	6474	816
888	6479	808
889	6483	801
890	6489	793
891	6493	786
892	6497	778
893	6502	770
894	6508	763
895	6512	755
896	6516	748
897	6523	740
898	6527	733
899	6532	725
900	6539	718
901	6544	710
902	6548	703
903	6554	696
904	6559	688
905	6563	681
906	6569	673
907	6574	666
908	6579	658
909	6584	651
910	6590	643
911	6594	636
912	6612	630
913	6620	622
914	6625	615
915	6630	608
916	6637	600
917	6642	593
918	6648	585
919	6655	578
920	6660	571
921	6669	564
922	6675	556
923	6680	549
924	6687	542
925	6693	534
926	6698	527
927	6705	520
928	6711	512
929	6717	505
930	6723	498
931	6729	491
932	6737	483
933	6741	476
934	6746	468
935	6752	461
936	6770	455
937	6775	447
938	6779	440
939	6785	433
940	6789	425
941	6794	418
942	6799	411
943	6803	403
944	6808	396
945	6812	388
946	6817	381
947	6822	374
948	6826	366
949	6832	359
950	6836	352
951	6840	344
952	6845	337
953	6850	330
954	6853	322
955	6858	315
956	6864	308
957	6869	301
958	6874	293
959	6880	286
960	6885	279
961	6890	272
962	6896	264
963	6901	257
964	6905	250
965	6925	243
966	6931	236
967	6936	229
968	6940	222
969	6947	214
970	6951	207
971	6955	200
972	6961	193
973	6966	185
974	6971	178
975	6979	171
976	6984	164
977	6989	157
978	6996	150
979	7001	142
980	7007	135
981	7014	128
982	7019	121
983	7025	114
984	7029	107
985	7033	99
986	7038	92
987	7044	85
988	7049	78
989	7053	71
990	7058	64
991	7077	57
992	7082	49
993	7087	42
994	7093	35
995	7097	28
996	7101	21
997	7107	14
998	7111	7
999	7116	0
